Clt,Dor.,Cognoms i nom,sexo,Inter 1,Temps,Écart
386,805,AUSIÓ Guillem,,05:54:15,08:56:59,+5:26:18.160
387,632,POMAROL Jordi,,06:37:56,08:57:00,+5:26:18.747
388,804,SALA Jaume,,05:54:19,08:57:00,+5:26:18.789
389,892,GONZALEZ Jose,,06:07:17,08:57:22,+5:26:40.736
390,612,MACIAS Xavier,,06:06:06,08:58:20,+5:27:38.838
391,88,MAYDEU Jordi,,06:37:05,08:58:33,+5:27:51.448
392,283,GARROTE Dani,,06:09:21,08:59:03,+5:28:21.777
393,1037,PUIG VILA Alba,,06:10:32,09:00:19,+5:29:38.035
394,98,FERNÁNDEZ Mariona,,06:10:27,09:00:33,+5:29:52.052
395,327,FORGA Vicky,,06:02:25,09:01:03,+5:30:22.155
396,326,MORENO Iolanda,,06:02:27,09:01:05,+5:30:23.775
397,329,CLAPERA Núria,,06:02:33,09:01:12,+5:30:30.336
398,330,ABRATTE Ernesto Oscar,,06:23:03,09:01:20,+5:30:39.049
399,52,GURILLO Esteban,,06:23:02,09:01:20,+5:30:39.092
400,478,COROMINAS Albert,,06:06:26,09:01:46,+5:31:04.396
401,476,COROMINAS Marina,,06:06:28,09:01:48,+5:31:06.619
402,871,CRUSELLS I Josep Maria,,06:06:49,09:04:22,+5:33:40.781
403,1007,RUSSINYOL VIDAL Carles,,06:06:49,09:04:23,+5:33:41.463
404,636,COSTA Santi,,06:16:01,09:04:33,+5:33:51.851
405,429,CRIBILLES  Josep,,06:16:02,09:04:35,+5:33:53.327
406,391,PRATS Luca,,06:20:19,09:04:53,+5:34:11.616
407,45,BALASCH Ariadna,,06:10:50,09:05:20,+5:34:39.094
408,44,COLOMÉ Oriol,,06:10:53,09:05:21,+5:34:39.949
409,392,ESPONA Albert,,06:21:16,09:05:39,+5:34:57.750
410,401,ROSSELLÓ Gaspar,,06:21:11,09:05:41,+5:35:00.209
411,393,PRATS Alexandra,,06:21:22,09:05:46,+5:35:04.859
412,470,DESOI Xevi,,06:16:10,09:06:42,+5:36:01.087
413,515,MUMBRÚ Marta,,05:58:50,09:07:28,+5:36:46.880
414,513,BOVÉ Gerard,,05:58:57,09:07:29,+5:36:47.766
415,512,TEIXIDOR Cristina,,05:59:12,09:07:29,+5:36:47.886
416,18,SERRA Josefina,,05:59:08,09:07:30,+5:36:49.187
417,57,POU Jaume,,05:59:03,09:07:33,+5:36:51.319
418,786,PAGES Roger,,05:59:08,09:07:37,+5:36:55.777
419,764,PLA Rosa,,05:59:11,09:07:38,+5:36:56.640
420,355,ARENAS Alba,,06:16:46,09:09:17,+5:38:35.549
421,356,COMAS Jordi,,06:16:27,09:09:18,+5:38:36.319
422,359,BONJOCH Gerard,,06:16:51,09:09:18,+5:38:36.678
423,357,RAMON Laura,,06:16:46,09:09:18,+5:38:37.191
424,481,MASRAMON Elena,,06:20:53,09:09:22,+5:38:40.534
425,482,MARGINEDAS Sergi,,06:20:54,09:09:24,+5:38:42.631
426,654,MUNTAL Rosa Maria,,06:26:50,09:09:30,+5:38:48.962
427,613,ALABERN Anna,,06:29:14,09:09:36,+5:38:54.280
428,614,CODINA Xevi,,06:29:05,09:09:37,+5:38:55.719
429,358,BONJOCH Roger,,06:17:49,09:10:15,+5:39:33.945
430,360,BOATELLA Francesc,,06:17:28,09:10:15,+5:39:34.003
431,78,ALSINA Clara,,06:13:12,09:11:03,+5:40:22.240
432,129,SANTANA Laura,,06:13:05,09:11:04,+5:40:22.723
433,90,LORENZO-PENALVA Patricia,,06:13:01,09:11:05,+5:40:24.189
434,59,BARRIL Gemma,,06:13:07,09:11:06,+5:40:24.378
435,509,FONT Aida,,06:16:09,09:11:08,+5:40:26.503
436,328,MARENGO Gemma,,06:12:33,09:11:09,+5:40:27.818
437,508,CASALS Guillem,,06:16:13,09:11:17,+5:40:35.347
438,185,DE LA Sergi,,06:27:53,09:11:42,+5:41:00.878
439,421,SOLER Joan,,06:13:25,09:12:48,+5:42:07.192
440,390,CAPDEVILA Conxita,,06:13:30,09:12:53,+5:42:12.087
441,616,OSCA Elisabet,,06:42:37,09:13:50,+5:43:09.044
442,225,FORMIGUERA Eulàlia,,05:56:34,09:14:50,+5:44:08.936
443,1014,FARRENY PRATS Angel,,06:27:19,09:14:51,+5:44:09.993
444,863,COLOM Raül,,06:11:49,09:14:51,+5:44:10.077
445,829,CANELA Carles,,06:11:49,09:15:25,+5:44:44.206
446,532,PUIG Pau,,06:37:50,09:15:52,+5:45:10.986
447,531,PUIG Pep,,06:37:43,09:15:53,+5:45:11.364
448,832,MONTAVA Josep,,06:41:46,09:16:15,+5:45:33.368
449,1042,HOMS MIRALPEIX Jordi,,05:49:37,09:16:15,+5:45:34.140
450,548,FONT Anna,,05:49:37,09:16:17,+5:45:35.736
451,1052,BOSCH Jordi,,06:38:37,09:16:23,+5:45:41.751
452,873,HOMS Lluis,,06:09:31,09:16:33,+5:45:51.745
453,813,VERDAGUER Marc,,06:09:30,09:16:34,+5:45:52.774
454,953,JUVANTENY Jordi,,06:09:30,09:16:34,+5:45:52.856
455,984,PEREZ Pol,,06:18:25,09:16:44,+5:46:02.461
456,537,FONTSERÈ Mariona,,06:18:59,09:17:02,+5:46:20.684
457,7,SEGURA Jordi,,,09:17:06,+5:46:25.145
458,536,SEGURA I Arnau,,06:18:59,09:17:08,+5:46:26.723
459,153,MERCADER Laura,,06:26:27,09:17:08,+5:46:26.847
460,460,ROS Xevi,,06:25:59,09:17:11,+5:46:30.089
461,551,SORIA Cesar,,06:26:44,09:17:12,+5:46:30.363
462,152,REALES Alex,,06:26:27,09:17:12,+5:46:30.479
463,459,AMAT Arnau,,06:26:01,09:17:14,+5:46:33.125
464,134,PUJOL Montse,,06:29:42,09:17:20,+5:46:38.742
465,377,BELLOT Josep,,06:22:10,09:17:20,+5:46:38.807
466,589,HOMS Marta,,06:45:42,09:17:25,+5:46:43.694
467,373,BATLLORI Xavier,,06:22:09,09:17:29,+5:46:47.464
468,128,GUANNOUF Abdelhakim,,06:28:08,09:17:46,+5:47:04.930
469,588,MOLIST Santi,,06:45:39,09:17:54,+5:47:12.542
470,453,BERMÚDEZ Libri,,06:28:04,09:18:09,+5:47:27.305
471,810,BALDI Carlos,,06:21:41,09:18:10,+5:47:28.574
472,920,LLANSÓ Xavier,,06:21:44,09:18:10,+5:47:28.684
473,133,PRERA David,,06:30:38,09:18:18,+5:47:36.626
474,809,BALDI Lluis,,06:21:39,09:18:18,+5:47:37.104
475,404,COBO Gerard,,08:02:26,09:18:38,+5:47:56.893
476,396,SUBIÑÀ Xevi,,08:09:30,09:18:44,+5:48:02.996
477,395,ANDREU Rosabel,,08:10:02,09:18:44,+5:48:03.232
478,398,BAUCELLS Rosa Maria,,08:10:28,09:20:42,+5:50:01.136
479,399,VILAR Moises,,08:10:11,09:20:47,+5:50:05.891
480,387,ARDERIU Carme,,08:13:49,09:20:59,+5:50:18.053
481,261,RIERA Jordi,,06:29:33,09:21:18,+5:50:36.907
482,259,RIERA Ramon,,06:30:16,09:21:58,+5:51:16.248
483,209,ATENCIA Jana,,06:35:05,09:22:58,+5:52:16.273
484,940,REINOSO Joan Antoni,,06:30:02,09:23:02,+5:52:21.100
485,207,ATENCIA Pilar,,06:35:02,09:23:14,+5:52:32.705
486,211,ARGEMÍ Cèlia,,06:35:35,09:23:16,+5:52:34.543
487,167,DAMAS Aline,,06:28:56,09:23:17,+5:52:36.012
488,169,SERRAT Gloria,,06:29:03,09:23:21,+5:52:39.770
489,955,PASCUAL Lluis,,06:06:24,09:23:26,+5:52:44.923
490,362,ALAÑÀ Montse,,06:29:48,09:25:29,+5:54:48.221
491,352,CASALS Josep Maria,,06:29:51,09:25:30,+5:54:48.614
492,367,SERRAA Ramon,,06:38:57,09:25:57,+5:55:15.854
493,858,PIERA Jordi,,06:27:04,09:25:58,+5:55:16.829
494,285,BADIA Hector,,06:38:57,09:26:00,+5:55:18.272
495,947,VILLALTA Victòria,,06:36:15,09:26:02,+5:55:20.456
496,1024,TIO PRATDESABA Gerard,,07:06:00,09:27:03,+5:56:22.185
497,193,SOLA Roger,,07:00:02,09:27:36,+5:56:54.940
498,72,GALLARDO Walter,,06:32:38,09:28:03,+5:57:21.769
499,73,LLEONART Jordi,,06:32:36,09:28:03,+5:57:21.884
500,1056,BALLESTER Ferran,,06:20:03,09:28:14,+5:57:33.001
501,856,COTS Miquel,,06:06:34,09:28:17,+5:57:35.797
502,66,PRAT Míriam,,06:32:36,09:28:51,+5:58:10.174
503,347,CROSAS Gloria,,06:32:44,09:28:54,+5:58:12.842
504,51,COLOMER Gemma,,06:32:39,09:28:56,+5:58:15.078
505,541,MOLIST Ramon,,06:25:10,09:29:00,+5:58:19.152
506,543,PUIGDERRAJOLS Jordi,,06:25:09,09:29:07,+5:58:25.573
507,10,PINTO Fran,,06:45:23,09:29:15,+5:58:33.518
508,252,PONS Agnes,,06:28:06,09:29:15,+5:58:33.985
509,11,MARTÍNEZ Maria,,06:39:54,09:29:16,+5:58:34.824
510,13,LÓPEZ Yolanda,,06:56:51,09:29:18,+5:58:36.422
511,14,TORIL Fran,,06:56:55,09:29:19,+5:58:37.838
512,944,RODÓN Núria,,06:18:15,09:29:23,+5:58:41.984
513,475,HU Yunqian,,06:28:10,09:29:40,+5:58:58.462
514,251,VILA Josep,,06:28:46,09:29:44,+5:59:03.217
515,759,MUNS Marina,,06:09:59,09:31:26,+6:00:44.508
516,961,CODINA Oriol,,06:08:33,09:31:27,+6:00:45.562
517,622,PERALES Inma,,06:05:59,09:32:07,+6:01:25.664
518,757,VIVÓ Josep,,06:30:45,09:32:30,+6:01:48.388
519,708,LORENTE Juan Antonio,,06:30:45,09:32:32,+6:01:50.426
520,428,SALA Jordi,,06:39:33,09:33:57,+6:03:15.463
521,427,ILLAMOLA Joan,,06:39:30,09:33:57,+6:03:15.722
522,426,PARAREDA Roger,,06:39:28,09:33:58,+6:03:16.926
523,872,NIL Saez,,06:22:17,09:37:18,+6:06:37.108
524,247,MONELLS Anna Mª,,06:36:36,09:37:19,+6:06:38.214
525,272,PLANAS Rosa,,06:36:40,09:37:21,+6:06:39.662
526,729,MOLIST I Joan,,06:22:18,09:37:22,+6:06:41.112
527,763,MONTOYA Guillem,,06:22:14,09:37:29,+6:06:47.810
528,792,CEDO Joan,,06:43:02,09:38:06,+6:07:24.731
529,256,CUENCA Cecília,,06:42:57,09:38:08,+6:07:26.343
530,315,DURÁN Jaume,,06:56:40,09:39:38,+6:08:56.965
531,627,IZQUIERDO Magí,,06:37:32,09:39:49,+6:09:07.788
532,626,CALDERÓ Maria,,06:37:33,09:39:52,+6:09:10.527
533,142,FABRE Xavier,,06:36:30,09:39:56,+6:09:14.820
534,298,MENENDEZ Albert,,06:31:11,09:40:51,+6:10:09.882
535,663,MARTÍ Manel,,06:43:37,09:40:55,+6:10:14.038
536,943,TURRÓ Alba,,06:31:53,09:42:58,+6:12:16.582
537,846,RUIZ Antonio,,06:46:27,09:43:05,+6:12:24.178
538,885,PIQUER Joan,,06:31:58,09:43:05,+6:12:24.195
539,451,IGNACIO Carmen,,07:00:41,09:43:23,+6:12:41.744
540,590,CALVET Ferriol,,06:36:54,09:44:21,+6:13:39.382
541,795,JUNCADELLA Jaume,,06:43:12,09:44:38,+6:13:56.670
542,638,MUÑOZ Carles,,06:43:08,09:44:40,+6:13:58.569
543,279,GAITAN Susana,,06:44:06,09:44:42,+6:14:00.545
544,77,TORRICO Josep,,06:43:52,09:44:42,+6:14:01.084
545,914,SORIANO Alfons,,06:47:29,09:44:49,+6:14:07.943
546,21,EXPOSITO Tania,,07:02:13,09:45:59,+6:15:18.169
547,112,PALOMINO Ester,,06:36:33,09:47:51,+6:17:09.648
548,738,MASGRAU Joaquim,,06:38:24,09:48:23,+6:17:41.287
549,737,TIÓ M. Rosa,,06:38:26,09:48:31,+6:17:49.338
550,1062,ROMA Arnau,,07:03:38,09:51:33,+6:20:51.314
551,208,RUIZ Eva,,07:03:37,09:51:34,+6:20:52.404
552,409,FONTSECA Jordi,,07:03:46,09:51:34,+6:20:53.156
553,791,FONOLL Marc,,06:50:22,09:51:50,+6:21:09.207
554,796,PIFARRÉ David,,06:50:30,09:51:54,+6:21:12.598
555,649,GOMEZ Ester,,06:52:31,09:52:18,+6:21:36.927
556,533,ESCOLÀ Francesc,,06:38:10,09:52:30,+6:21:48.296
557,38,UDINA Esther,,06:29:47,09:52:32,+6:21:50.767
558,37,DAVIU Noemí,,06:29:49,09:52:32,+6:21:50.870
559,949,CERRILLO Emilio David,,06:40:50,09:52:45,+6:22:04.047
560,948,CALVO Luis Enrique,,06:40:45,09:52:46,+6:22:04.929
561,701,VILARDELL Carme,,06:41:42,09:52:57,+6:22:16.091
562,974,GARCÍA Francisco Javier,,06:42:50,09:53:08,+6:22:27.016
563,973,ARENAS Javier,,06:42:41,09:53:11,+6:22:29.987
564,972,FELGUERA Sebastian,,06:42:46,09:53:14,+6:22:32.711
565,85,CORTINA Sara,,06:34:36,09:54:10,+6:23:28.906
566,640,SANDOVAL Merce,,06:47:00,09:54:35,+6:23:53.461
567,155,CARRERA Nuria,,06:58:30,09:54:48,+6:24:06.499
568,156,POU Isaac,,06:58:35,09:54:49,+6:24:07.976
569,103,VALLS Montse,,06:51:11,09:54:50,+6:24:08.503
570,168,RIBA Carme,,06:51:11,09:54:50,+6:24:08.707
571,671,ABAT Marta,,06:51:22,09:55:13,+6:24:31.729
572,672,VIDAL Ernest,,06:51:23,09:55:13,+6:24:32.170
573,848,RUIZ Sara,,06:58:40,09:55:15,+6:24:33.653
574,814,PORTI Joan,,06:47:51,09:56:16,+6:25:34.766
575,491,MASMITJÀ Joan,,06:47:57,09:56:19,+6:25:38.042
576,43,SOLER Josep,,06:42:56,09:56:51,+6:26:09.593
577,42,RUIZ Joan,,06:43:00,09:56:52,+6:26:11.181
578,110,NEMER Gilbert,,06:46:15,09:56:56,+6:26:14.942
579,842,MOIX Marga,,06:51:13,09:57:43,+6:27:01.843
580,845,ALONSO Míguel,,06:51:12,09:57:44,+6:27:02.378
581,844,SÁNCHEZ Maricarmen,,06:51:23,09:57:44,+6:27:02.862
582,852,GUITART Mariona,,06:51:17,09:57:46,+6:27:04.393
583,853,LLONCH Mireia,,06:51:23,09:57:56,+6:27:15.002
584,189,CANÓ Núria,,06:58:53,09:58:28,+6:27:46.737
585,190,GONZALO Guillem,,06:58:54,09:58:32,+6:27:51.033
586,891,TEMPORAL Montserrat,,06:53:16,09:58:48,+6:28:06.770
587,893,PÉREZ Fina,,06:53:23,09:59:18,+6:28:36.520
588,450,BARNILS Mercè,,06:59:49,09:59:19,+6:28:37.593
589,779,CLOSA Susana,,07:07:20,09:59:21,+6:28:40.135
590,523,CASAS Joan,,07:01:00,09:59:24,+6:28:42.557
591,530,CASAS Alfons,,07:01:00,09:59:26,+6:28:44.591
592,780,GALLEMI Meritxell,,,09:59:26,+6:28:44.821
593,308,LOPEZ Josep,,07:07:27,09:59:27,+6:28:46.027
594,778,AGUADO David,,07:07:23,09:59:30,+6:28:48.956
595,149,ARAN David,,06:52:28,10:00:01,+6:29:19.683
596,289,ARUMÍ Núria,,06:46:17,10:00:39,+6:29:58.020
597,290,ARUMÍ Genís,,06:46:13,10:00:40,+6:29:58.437
598,901,QUINTANA Octavi,,06:46:16,10:02:24,+6:31:42.840
599,433,COTS Mercè,,06:52:32,10:02:27,+6:31:45.505
600,81,TANTIÑA Pilar,,07:00:11,10:02:28,+6:31:46.320
601,82,TAÑA Anna,,06:55:25,10:02:38,+6:31:57.220
602,83,ROVIRA Marta,,06:55:27,10:02:40,+6:31:58.626
603,812,BLANCAFORT Maria Àngels,,06:39:42,10:03:16,+6:32:34.552
604,79,JIMÉNEZ Mjose,,06:50:36,10:03:23,+6:32:41.808
605,150,MASNOU Antoni,,06:50:58,10:03:27,+6:32:45.644
606,80,MOLIST Xavier,,06:50:37,10:03:30,+6:32:48.968
607,679,RIBERA Rafel,,06:53:09,10:03:41,+6:32:59.628
607,678,XUMETRA Teresa,,06:53:13,10:03:41,+6:32:59.628
609,740,ARJONA Jose Antonio,,06:58:54,10:03:46,+6:33:04.733
610,741,SIMONA Marti,,,10:03:46,+6:33:04.810
611,567,CUTRINA Maria,,06:49:38,10:03:53,+6:33:11.818
612,480,IBAÑEZ Geni,,06:49:31,10:03:56,+6:33:14.856
613,160,GRÀCIA Meritxell,,06:49:39,10:03:57,+6:33:16.055
614,504,ORTEGA Arantxa,,06:49:36,10:03:58,+6:33:16.809
615,569,CUTRINA Concepció,,06:49:44,10:04:01,+6:33:19.536
616,241,PÉREZ Jordi,,06:43:12,10:04:50,+6:34:09.137
617,861,PARDO Marc,,06:53:13,10:05:12,+6:34:30.622
618,860,PUJOL Aida,,06:53:14,10:05:16,+6:34:34.864
619,552,TORRA Mireia,,06:59:11,10:05:17,+6:34:35.578
620,5,MARTÍN Beca,,07:03:48,10:05:18,+6:34:36.365
621,3,MUSACH Gemma,,07:03:54,10:05:18,+6:34:37.166
622,553,CANÓ Joan,,06:59:07,10:05:19,+6:34:37.321
623,875,BADIA Andreu,,07:15:33,10:05:21,+6:34:40.028
624,4,ALONSO Sergio,,07:03:50,10:05:22,+6:34:40.982
625,604,BOSCH Jofre,,06:30:09,10:05:30,+6:34:49.196
626,611,QUESADA Andrea,,06:30:09,10:05:31,+6:34:50.038
627,74,BERGA Salva,,06:43:54,10:05:36,+6:34:54.556
628,641,GAY Marina,,06:47:36,10:05:37,+6:34:56.060
629,659,JUBERT Joana,,06:47:41,10:05:37,+6:34:56.139
630,642,ALGUERÓ Berta,,06:47:48,10:05:49,+6:35:07.765
631,76,BASAGAÑA Mar,,07:05:33,10:06:04,+6:35:23.191
632,75,OPISSO Isàvena,,07:05:36,10:06:05,+6:35:23.752
633,50,SIMON Cristina,,06:56:31,10:06:34,+6:35:52.332
634,49,GARCIA Elisabet,,06:56:34,10:06:34,+6:35:53.022
635,431,CRIACH Silvia,,06:57:04,10:07:13,+6:36:31.272
636,17,COLOMER Esteve,,06:59:04,10:07:43,+6:37:01.339
637,473,AYATS Marta,,06:24:49,10:07:55,+6:37:13.595
638,238,ROVIRA Gerard,,06:46:12,10:08:02,+6:37:20.685
639,487,NICOLAU Carlos,,06:56:30,10:08:13,+6:37:31.708
640,1054,REIXART Guillem,,06:59:25,10:08:27,+6:37:45.304
641,486,MARCILLAS Edu,,06:56:35,10:08:36,+6:37:54.328
642,1023,VILARDELL ROMEU Mª Rosa,,06:55:42,10:08:37,+6:37:55.846
643,60,VAÑO Lourdes Cecilia,,06:55:28,10:09:49,+6:39:07.506
644,46,CASELLAS Olga,,06:55:27,10:09:49,+6:39:07.511
645,967,PASCUAL Francesc,,06:55:46,10:10:35,+6:39:53.832
646,568,VILA Angel,,06:56:56,10:11:18,+6:40:37.105
647,570,VILA Eva,,06:57:03,10:11:23,+6:40:42.093
648,720,MAIDEU Josep,,06:50:54,10:11:42,+6:41:00.984
649,677,MAIDEU Ines,,06:51:02,10:11:47,+6:41:05.462
650,571,BAS Francesc,,06:58:12,10:12:03,+6:41:21.674
651,661,PARÉS Anna,,07:08:54,10:12:38,+6:41:56.725
652,710,CODINA Cristina,,07:05:20,10:12:40,+6:41:59.042
653,709,GAISSER Bernat,,07:06:05,10:13:20,+6:42:38.766
654,485,REDONDO Rafa,,07:01:59,10:13:41,+6:42:59.976
655,410,SARDÀ Lluís,,06:55:46,10:13:43,+6:43:01.527
656,141,SERRA Joan,,06:23:49,10:13:49,+6:43:08.113
657,130,RABASSA Sara,,06:50:28,10:13:50,+6:43:08.598
658,140,SARRETA Miquel,,06:23:52,10:13:55,+6:43:13.845
659,131,MIR Esteve,,06:50:58,10:14:16,+6:43:34.308
660,931,MAS Jacint,,06:50:14,10:14:17,+6:43:35.650
661,811,ALTARRIBA Jordi,,06:50:49,10:14:24,+6:43:43.009
662,1041,MAROTIAS ANDRÉS Jacobo,,06:43:15,10:14:37,+6:43:55.763
663,761,PRAT Mireia,,07:00:38,10:14:41,+6:43:59.751
664,346,GELONCH Rosa Maria,,07:01:25,10:14:44,+6:44:02.818
665,344,SADURNI Anna,,07:01:29,10:14:45,+6:44:03.620
666,801,CARO Miguel Angel,,07:00:50,10:14:48,+6:44:06.717
667,762,PUJOL Jordi,,07:00:50,10:14:57,+6:44:15.473
668,275,VALL-LLOSERA Cristina,,06:57:09,10:14:59,+6:44:18.036
669,318,VALL-LLOSERA Francesc,,06:57:03,10:15:00,+6:44:18.678
670,135,JIMÉNEZ Lluïsa,,07:00:24,10:15:21,+6:44:39.432
671,297,BASSAS Esther,,06:00:31,10:15:24,+6:44:43.072
672,1016,BARFULL BRACHS Marta,,07:05:57,10:16:05,+6:45:23.981
673,440,BERBEL Albert,,06:53:04,10:16:18,+6:45:37.123
674,816,DÍAZ Yania,,07:08:21,10:16:50,+6:46:08.693
675,307,SEBASTIÁ Toni,,07:07:13,10:16:55,+6:46:13.255
676,147,MUÑOZ Anna,,07:08:50,10:17:28,+6:46:46.983
677,144,MONTAÑÀ Anna,,07:09:33,10:18:15,+6:47:33.451
678,143,CASTELLÀ Dolors,,07:09:39,10:18:16,+6:47:34.267
679,148,MONTAÑA Sandra,,07:09:36,10:18:16,+6:47:34.768
680,859,CABANAS Xènia,,07:07:37,10:18:45,+6:48:03.421
681,900,AUSIÓ Dolors,,07:02:49,10:18:48,+6:48:06.982
682,894,GONZÁLEZ M. Àngels,,07:18:08,10:18:50,+6:48:08.812
683,886,MUNDÓ Eva,,07:18:03,10:18:50,+6:48:08.890
684,725,FABRÉ Dolors,,07:07:58,10:19:15,+6:48:33.456
685,998,PUIG Montserrat,,07:07:50,10:19:17,+6:48:35.861
686,870,GONZALEZ Miriam,,07:01:25,10:19:43,+6:49:01.430
687,733,COSTA Arnau,,07:01:20,10:19:46,+6:49:05.216
688,732,PUIGIVILA Nil,,07:02:15,10:20:45,+6:50:03.645
689,1010,MARTINEZ MOTOS Manel,,07:09:15,10:20:45,+6:50:03.894
690,841,BÁGUENA Estefanía,,07:01:00,10:21:09,+6:50:27.694
691,924,ALONSO Javier,,07:01:03,10:21:10,+6:50:28.873
692,274,GARCIA Lluis,,,10:21:47,+6:51:05.629
693,768,TORRENTS Cesc,,07:07:34,10:21:47,+6:51:06.241
694,248,FERNANDEZ Jorge,,07:13:16,10:21:48,+6:51:06.361
695,840,SALVADOR Roser,,07:01:47,10:21:54,+6:51:12.531
696,896,FERRÉS Pere,,07:07:58,10:22:10,+6:51:28.668
697,521,DHANYARATHIRUNDEAH Phuncharas,,07:11:48,10:23:04,+6:52:23.100
698,422,LLADÓ Marc,,07:25:12,10:23:05,+6:52:23.306
699,424,VIÑETA Andreu,,07:25:12,10:23:06,+6:52:24.689
700,874,TRILLA Miquel,,,10:23:07,+6:52:25.541
701,522,LUPION Ferran,,07:11:53,10:23:12,+6:52:30.252
702,564,JOFRE Martí,,07:06:14,10:23:20,+6:52:38.822
703,989,PADRÓS Laura,,07:02:02,10:23:29,+6:52:47.629
704,988,OCHOA Xevi,,07:02:08,10:23:32,+6:52:50.688
705,985,BRUNN Mireia,,07:05:12,10:23:37,+6:52:55.439
706,907,LINARES Laura,,07:14:57,10:23:39,+6:52:57.641
707,903,TOLEDO Sandra,,07:14:59,10:23:40,+6:52:58.670
708,884,GALLARDO Francesc,,07:22:38,10:23:42,+6:53:00.370
709,987,ANTEQUERA Eva,,07:02:03,10:23:43,+6:53:01.720
710,954,MORENO Eugenio,,07:06:33,10:23:45,+6:53:03.989
711,527,GARCIA Blas,,06:41:36,10:23:53,+6:53:12.236
712,277,CASTILLO Carol,,07:00:27,10:24:57,+6:54:15.672
713,1048,FANES CANILLO Inma,,07:00:37,10:25:01,+6:54:19.389
714,876,FORMIGUERA Maia,,06:55:52,10:25:05,+6:54:24.010
715,902,REIG Maria,,06:55:51,10:25:05,+6:54:24.190
716,227,VERDU Olivia,,07:01:47,10:25:08,+6:54:26.742
717,878,FORMIGUERA Arlet,,06:55:44,10:25:08,+6:54:27.012
718,228,VERDÚ Valentina,,06:55:49,10:25:09,+6:54:27.531
719,877,FORMIGUERA Agnès,,07:01:50,10:25:10,+6:54:28.452
720,879,PEÑALBA Agustina,,07:01:44,10:25:12,+6:54:30.669
721,249,IBÁÑEZ Rafa,,07:10:35,10:25:25,+6:54:43.638
722,300,VARGAS Ruben,,07:08:30,10:25:26,+6:54:45.007
723,379,POLO Javier,,07:00:58,10:25:27,+6:54:45.873
724,301,FONT Mireia,,07:10:29,10:25:30,+6:54:48.618
725,154,MAS Jordi,,07:07:24,10:25:30,+6:54:48.884
726,2,RULL Otto,,07:10:25,10:25:31,+6:54:49.249
727,439,CASAÑA Gemma,,07:09:50,10:25:33,+6:54:51.391
728,633,FARRAN Laura,,07:10:58,10:25:35,+6:54:54.214
729,629,MULLERA Marta,,07:11:12,10:25:39,+6:54:58.219
730,643,CLARIANA Neus,,07:11:05,10:25:41,+6:54:59.710
731,836,RITORT Joaquim,,07:11:00,10:25:43,+6:55:01.594
732,217,BORDAS Ariadna,,07:10:47,10:25:44,+6:55:03.180
733,35,BERTRANS Berta,,07:10:42,10:25:45,+6:55:03.792
734,170,FONT Maria,,07:10:53,10:25:46,+6:55:05.202
735,34,RODOREDA Pol,,07:08:47,10:25:50,+6:55:08.626
736,171,ROVIRA David,,07:08:54,10:25:51,+6:55:09.484
737,703,MATEO Belén,,07:08:07,10:26:19,+6:55:37.578
738,670,GARCIA Cristina Luna,,07:08:04,10:26:21,+6:55:39.360
739,1001,MASDEVALL AULET Robert,,07:03:10,10:26:30,+6:55:48.622
740,1002,MASDEVALL AULET Jordi,,07:03:11,10:26:30,+6:55:48.880
741,578,CODINA  Eva,,07:08:33,10:27:32,+6:56:50.967
742,291,ZAPATER Marià,,07:08:32,10:27:35,+6:56:53.815
743,580,CAROL Ton,,07:08:36,10:27:36,+6:56:55.058
744,335,MUNMANY Mireia,,07:08:37,10:27:44,+6:57:03.229
745,1011,FONTCUBERTA MUNARRIZ Iratxe,,07:16:32,10:28:09,+6:57:28.038
746,91,GIRAMÉ Erola,,07:10:30,10:28:23,+6:57:41.969
747,93,SERRA Josep,,07:10:27,10:28:24,+6:57:42.615
748,273,SERDÀ Laura,,07:41:34,10:28:33,+6:57:51.911
749,855,COTS Ramon,,07:16:19,10:28:49,+6:58:07.644
750,1027,RIERA PERICH Ferran,,06:49:14,10:28:55,+6:58:14.120
751,407,TORAN Joan,,08:00:32,10:29:55,+6:59:14.179
752,159,CLOSAS Laia,,07:10:15,10:33:28,+7:02:46.534
753,158,RIBO Xavier,,07:10:19,10:33:32,+7:02:50.644
754,555,RIBO Alex,,07:11:18,10:34:04,+7:03:22.867
755,800,COROMINA Montse,,07:27:27,10:34:14,+7:03:32.421
756,276,SALLENT Anna,,07:27:26,10:34:16,+7:03:34.951
757,172,VIVET Laia,,06:56:53,10:35:13,+7:04:31.587
758,173,CAMPRUBÍ Berta,,06:56:58,10:35:16,+7:04:34.834
759,705,CASACUBERTA Oriol,,06:57:09,10:35:24,+7:04:42.449
760,157,RULL Albert,,07:29:58,10:36:09,+7:05:27.518
761,618,COLOMINA Concepció,,07:11:24,10:37:14,+7:06:32.324
762,1043,TORRES SORIANO Jose Luis,,07:20:09,10:37:19,+7:06:38.070
763,833,BARRIL Laia,,07:16:23,10:37:27,+7:06:45.763
764,776,MASSANEDA Albert,,07:16:37,10:37:44,+7:07:03.024
765,777,MASSANEDA Xavi,,07:17:04,10:37:55,+7:07:14.068
766,862,BARRADAS Joan Carles,,07:18:05,10:38:34,+7:07:53.024
767,662,SERRA Laura,,07:35:07,10:38:48,+7:08:06.426
768,364,VILA Paula,,07:07:34,10:38:48,+7:08:06.668
